184,Mississippi,SEC,Randy Clements,500000,12500,487500,487500,12500,4753125
185,Missouri,SEC,Marcus Johnson,500000,12500,487500,487500,12500,4840875
186,Colorado,Pac-12,Tyson Summers,500000,15625,484375,484575,25000,3319193
187,Nebraska,Big Ten,Matt Lubick,500000,16667,483333,483333,16667,4205000
188,Nebraska,Big Ten,Greg Austin,500000,16667,483333,483333,16667,4205000
189,Texas Tech,Big 12,Derek Jones,500000,17292,482708,482708,41500,3564139
190,Michigan State,Big Ten,Ted Gilmore,500000,20417,479583,479583,35000,5717438
191,Clemson,ACC,Lemanski Hall,500000,25000,475000,477500,50000,7641500
192,Florida,SEC,David Turner,476500,0,476500,476500,0,6300000
193,Alabama,SEC,Holmon Wiggins,475000,0,475000,475000,0,8850000
194,NC State,ACC,George McDonald,492250,18459,473791,473791,26664,3957436
195,Oklahoma,Big 12,Roy Manning,470000,0,470000,470000,0,6283333
196,North Carolina,ACC,Stacy Searels,506000,42167,463833,463833,75900,4868415
197,Michigan State,Big Ten,Harlon Barnett,480000,16800,463200,463200,28800,5717438
198,Mississippi,SEC,Joe Jon Finley,475000,11875,463125,463125,11875,4753125
199,Florida,SEC,Torrian Gray,461500,0,461500,461500,0,6300000
200,Purdue,Big Ten,Anthony Poindexter,460000,0,460000,460000,0,3472150
201,Michigan State,Big Ten,Ross Els,475000,16625,458375,458375,28500,5717438
202,North Carolina,ACC,Jovan Dewitt,500000,41667,458333,458333,75000,4868415
203,Florida,SEC,Ron English,451500,0,451500,451500,0,6300000
204,Michigan,Big Ten,Bob Shoop,450000,0,450000,450000,0,6270000
205,Auburn,SEC,Travis Williams,450000,0,450000,450000,0,6760000
206,Michigan,Big Ten,Michael Zordich,450000,0,450000,450000,0,6270000
207,Tennessee,SEC,Chris Weinke,450000,0,450000,450000,0,6312292
208,UCLA,Pac-12,Dana Bible,450000,0,450000,450000,0,4280800
209,Louisville,ACC,Cort Dennison,450000,0,450000,450000,0,4555000
210,Florida State,ACC,Ron Dugans,450000,0,450000,450000,0,5355750
211,Utah,Pac-12,Sharrieff Shah,450000,0,450000,450000,0,4255000
212,Georgia Tech,ACC,Andrew Thacker,450000,0,450000,450000,0,3236000
213,Arizona State,Pac-12,Shawn Slocum,450000,0,450000,450000,0,3700000
214,Louisiana State,SEC,Bill Busch,450000,5625,444375,446625,22500,7461950
215,Rutgers,Big Ten,Jim Panagos,450000,5172,444828,444828,5172,4142701
216,Washington State,Pac-12,Craig Stutzmann,485000,40417,444583,444583,40417,3632915
217,Ohio State,Big Ten,Matt Barnes,450000,7500,442500,442500,16875,7859200
218,Indiana,Big Ten,Kane Wommack,460000,17692,442308,442308,17692,3480810
219,Tennessee,SEC,Tee Martin,450000,8750,441250,441250,8750,6312292
220,Mississippi,SEC,Derrick Nix,450000,11250,438750,438750,11250,4753125
221,Missouri,SEC,David Gibbs,450000,11250,438750,438750,11250,4840875
222,Oklahoma,Big 12,Calvin Thibodeaux,435000,0,435000,435000,0,6283333
223,Nebraska,Big Ten,Travis Fisher,450000,15000,435000,435000,15000,4205000
224,Oklahoma,Big 12,Jamar Cain,435000,0,435000,435000,0,6283333
225,Oklahoma,Big 12,Brian Odom,435000,0,435000,435000,0,6283333
